-0.740560	0.00152105	0.00780784
-0.644073	0.00118404	0.0014408
-0.546380	0.0115444	0.000810307
-0.447465	0.0161583	0.000587754
-0.348869	0.0182523	0.000502413
-0.249903	0.0178271	0.000478905
-0.150682	0.016361	0.000488068
-0.051424	0.012407	0.000523932
0.047748	0.00804091	0.000596758
0.147117	0.00159339	0.000723497
0.246442	-0.00599272	0.000929099
0.345855	-0.0135255	0.00127167
0.444897	-0.0192677	0.00187419
0.544236	-0.0271549	0.0030803
0.643146	-0.0301984	0.00630346
0.741067	-0.0590705	0.0267849
